"Date","AQS_SITE_ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2000","160230101","1","0.029","ppm","25","24","100.0000","44201","Ozone","26820","Idaho Falls, ID","16","Idaho","023","Butte","43.460556000942","-113.562222"
"01/02/2000","160230101","1","0.038","ppm","32","24","100.0000","44201","Ozone","26820","Idaho Falls, ID","16","Idaho","023","Butte","43.460556000942","-113.562222"
"01/03/2000","160230101","1","0.038","ppm","32","24","100.0000","44201","Ozone","26820","Idaho Falls, ID","16","Idaho","023","Butte","43.460556000942","-113.562222"
"01/04/2000","160230101","1","0.04","ppm","34","24","100.0000","44201","Ozone","26820","Idaho Falls, ID","16","Idaho","023","Butte","43.460556000942","-113.562222"
"01/05/2000","160230101","1","0.042","ppm","36","24","100.0000","44201","Ozone","26820","Idaho Falls, ID","16","Idaho","023","Butte","43.460556000942","-113.562222"
"01/06/2000","160230101","1","0.037","ppm","31","24","100.0000","44201","Ozone","26820","Idaho Falls, ID","16","Idaho","023","Butte","43.460556000942","-113.562222"
"01/07/2000","160230101","1","0.041","ppm","35","24","100.0000","44201","Ozone","26820","Idaho Falls, ID","16","Idaho","023","Butte","43.460556000942","-113.562222"
"01/08/2000","160230101","1","0.041","ppm","35","24","100.0000","44201","Ozone","26820","Idaho Falls, ID","16","Idaho","023","Butte","43.460556000942","-113.562222"
"01/09/2000","160230101","1","0.044","ppm","37","24","100.0000","44201","Ozone","26820","Idaho Falls, ID","16","Idaho","023","Butte","43.460556000942","-113.562222"
"01/10/2000","160230101","1","0.044","ppm","37","24","100.0000","44201","Ozone","26820","Idaho Falls, ID","16","Idaho","023","Butte","43.460556000942","-113.562222"
"01/11/2000","160230101","1","0.042","ppm","36","24","100.0000","44201","Ozone","26820","Idaho Falls, ID","16","Idaho","023","Butte","43.460556000942","-113.562222"
"01/12/2000","160230101","1","0.042","ppm","36","24","100.0000","44201","Ozone","26820","Idaho Falls, ID","16","Idaho","023","Butte","43.460556000942","-113.562222"
"01/13/2000","160230101","1","0.042","ppm","36","24","100.0000","44201","Ozone","26820","Idaho Falls, ID","16","Idaho","023","Butte","43.460556000942","-113.562222"
"01/14/2000","160230101","1","0.042","ppm","36","24","100.0000","44201","Ozone","26820","Idaho Falls, ID","16","Idaho","023","Butte","43.460556000942","-113.562222"
"01/15/2000","160230101","1","0.039","ppm","33","24","100.0000","44201","Ozone","26820","Idaho Falls, ID","16","Idaho","023","Butte","43.460556000942","-113.562222"
"01/16/2000","160230101","1","0.047","ppm","40","24","100.0000","44201","Ozone","26820","Idaho Falls, ID","16","Idaho","023","Butte","43.460556000942","-113.562222"
"01/17/2000","160230101","1","0.044","ppm","37","24","100.0000","44201","Ozone","26820","Idaho Falls, ID","16","Idaho","023","Butte","43.460556000942","-113.562222"
"01/19/2000","160230101","1","0.031","ppm","26","24","100.0000","44201","Ozone","26820","Idaho Falls, ID","16","Idaho","023","Butte","43.460556000942","-113.562222"
"01/20/2000","160230101","1","0.037","ppm","31","24","100.0000","44201","Ozone","26820","Idaho Falls, ID","16","Idaho","023","Butte","43.460556000942","-113.562222"
