"Date","AQS_SITE_ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2000","080013001","2","0.027","ppm","23","24","100.0000","44201","Ozone","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"01/02/2000","080013001","2","0.033","ppm","28","24","100.0000","44201","Ozone","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"01/03/2000","080013001","2","0.031","ppm","26","24","100.0000","44201","Ozone","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"01/04/2000","080013001","2","0.018","ppm","15","24","100.0000","44201","Ozone","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"01/05/2000","080013001","2","0.034","ppm","29","24","100.0000","44201","Ozone","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"01/06/2000","080013001","2","0.018","ppm","15","24","100.0000","44201","Ozone","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"01/07/2000","080013001","2","0.014","ppm","12","24","100.0000","44201","Ozone","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"01/08/2000","080013001","2","0.036","ppm","31","24","100.0000","44201","Ozone","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"01/09/2000","080013001","2","0.038","ppm","32","24","100.0000","44201","Ozone","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"01/10/2000","080013001","2","0.034","ppm","29","24","100.0000","44201","Ozone","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"01/11/2000","080013001","2","0.026","ppm","22","24","100.0000","44201","Ozone","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"01/14/2000","080013001","2","0.003","ppm","3","24","100.0000","44201","Ozone","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"01/15/2000","080013001","2","0.014","ppm","12","24","100.0000","44201","Ozone","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"01/16/2000","080013001","2","0.01","ppm","8","24","100.0000","44201","Ozone","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"01/17/2000","080013001","2","0.007","ppm","6","24","100.0000","44201","Ozone","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"01/19/2000","080013001","2","0.03","ppm","25","24","100.0000","44201","Ozone","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"01/20/2000","080013001","2","0.002","ppm","2","24","100.0000","44201","Ozone","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"01/21/2000","080013001","2","0.015","ppm","13","24","100.0000","44201","Ozone","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"01/22/2000","080013001","2","0.035","ppm","30","24","100.0000","44201","Ozone","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"01/23/2000","080013001","2","0.036","ppm","31","24","100.0000","44201","Ozone","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"01/24/2000","080013001","2","0.03","ppm","25","24","100.0000","44201","Ozone","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"01/25/2000","080013001","2","0.011","ppm","9","24","100.0000","44201","Ozone","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"01/26/2000","080013001","2","0.003","ppm","3","24","100.0000","44201","Ozone","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"01/27/2000","080013001","2","0.018","ppm","15","24","100.0000","44201","Ozone","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
