"Date","AQS_SITE_ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2000","201070002","1","0.05","ppm","42","24","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","107","Linn","38.1358820009167","-94.731988"
"01/02/2000","201070002","1","0.041","ppm","35","24","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","107","Linn","38.1358820009167","-94.731988"
"01/03/2000","201070002","1","0.021","ppm","18","24","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","107","Linn","38.1358820009167","-94.731988"
"01/04/2000","201070002","1","0.021","ppm","18","24","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","107","Linn","38.1358820009167","-94.731988"
"01/05/2000","201070002","1","0.034","ppm","29","24","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","107","Linn","38.1358820009167","-94.731988"
"01/06/2000","201070002","1","0.016","ppm","14","24","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","107","Linn","38.1358820009167","-94.731988"
"01/07/2000","201070002","1","0.032","ppm","27","24","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","107","Linn","38.1358820009167","-94.731988"
"01/08/2000","201070002","1","0.029","ppm","25","24","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","107","Linn","38.1358820009167","-94.731988"
"01/09/2000","201070002","1","0.027","ppm","23","24","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","107","Linn","38.1358820009167","-94.731988"
"01/10/2000","201070002","1","0.036","ppm","31","24","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","107","Linn","38.1358820009167","-94.731988"
"01/11/2000","201070002","1","0.035","ppm","30","24","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","107","Linn","38.1358820009167","-94.731988"
"01/12/2000","201070002","1","0.028","ppm","24","24","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","107","Linn","38.1358820009167","-94.731988"
"01/13/2000","201070002","1","0.02","ppm","17","24","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","107","Linn","38.1358820009167","-94.731988"
"01/14/2000","201070002","1","0.033","ppm","28","24","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","107","Linn","38.1358820009167","-94.731988"
"01/15/2000","201070002","1","0.038","ppm","32","24","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","107","Linn","38.1358820009167","-94.731988"
"01/16/2000","201070002","1","0.027","ppm","23","24","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","107","Linn","38.1358820009167","-94.731988"
"01/17/2000","201070002","1","0.01","ppm","8","24","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","107","Linn","38.1358820009167","-94.731988"
"01/18/2000","201070002","1","0.014","ppm","12","24","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","107","Linn","38.1358820009167","-94.731988"
"01/19/2000","201070002","1","0.027","ppm","23","24","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","107","Linn","38.1358820009167","-94.731988"
"01/20/2000","201070002","1","0.032","ppm","27","24","100.0000","44201","Ozone","28140","Kansas City, MO-KS","20","Kansas","107","Linn","38.1358820009167","-94.731988"
