"Date","AQS_SITE_ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"04/01/2000","330031002","1","0.046","ppm","39","24","100.0000","44201","Ozone","","","33","New Hampshire","003","Carroll",".","."
"04/02/2000","330031002","1","0.026","ppm","22","24","100.0000","44201","Ozone","","","33","New Hampshire","003","Carroll",".","."
"04/03/2000","330031002","1","0.031","ppm","26","24","100.0000","44201","Ozone","","","33","New Hampshire","003","Carroll",".","."
"04/04/2000","330031002","1","0.028","ppm","24","24","100.0000","44201","Ozone","","","33","New Hampshire","003","Carroll",".","."
"04/05/2000","330031002","1","0.034","ppm","29","24","100.0000","44201","Ozone","","","33","New Hampshire","003","Carroll",".","."
"04/06/2000","330031002","1","0.034","ppm","29","24","100.0000","44201","Ozone","","","33","New Hampshire","003","Carroll",".","."
"04/07/2000","330031002","1","0.043","ppm","36","24","100.0000","44201","Ozone","","","33","New Hampshire","003","Carroll",".","."
"04/08/2000","330031002","1","0.044","ppm","37","24","100.0000","44201","Ozone","","","33","New Hampshire","003","Carroll",".","."
"04/09/2000","330031002","1","0.043","ppm","36","24","100.0000","44201","Ozone","","","33","New Hampshire","003","Carroll",".","."
"04/10/2000","330031002","1","0.042","ppm","36","24","100.0000","44201","Ozone","","","33","New Hampshire","003","Carroll",".","."
"04/11/2000","330031002","1","0.041","ppm","35","24","100.0000","44201","Ozone","","","33","New Hampshire","003","Carroll",".","."
"04/12/2000","330031002","1","0.048","ppm","41","24","100.0000","44201","Ozone","","","33","New Hampshire","003","Carroll",".","."
"04/13/2000","330031002","1","0.048","ppm","41","24","100.0000","44201","Ozone","","","33","New Hampshire","003","Carroll",".","."
"04/14/2000","330031002","1","0.046","ppm","39","24","100.0000","44201","Ozone","","","33","New Hampshire","003","Carroll",".","."
"04/15/2000","330031002","1","0.058","ppm","49","24","100.0000","44201","Ozone","","","33","New Hampshire","003","Carroll",".","."
"04/16/2000","330031002","1","0.046","ppm","39","24","100.0000","44201","Ozone","","","33","New Hampshire","003","Carroll",".","."
"04/17/2000","330031002","1","0.046","ppm","39","24","100.0000","44201","Ozone","","","33","New Hampshire","003","Carroll",".","."
"04/18/2000","330031002","1","0.044","ppm","37","24","100.0000","44201","Ozone","","","33","New Hampshire","003","Carroll",".","."
"04/19/2000","330031002","1","0.04","ppm","34","24","100.0000","44201","Ozone","","","33","New Hampshire","003","Carroll",".","."
"04/20/2000","330031002","1","0.045","ppm","38","24","100.0000","44201","Ozone","","","33","New Hampshire","003","Carroll",".","."
"04/21/2000","330031002","1","0.035","ppm","30","24","100.0000","44201","Ozone","","","33","New Hampshire","003","Carroll",".","."
"04/22/2000","330031002","1","0.038","ppm","32","24","100.0000","44201","Ozone","","","33","New Hampshire","003","Carroll",".","."
"04/23/2000","330031002","1","0.03","ppm","25","24","100.0000","44201","Ozone","","","33","New Hampshire","003","Carroll",".","."
"04/24/2000","330031002","1","0.042","ppm","36","24","100.0000","44201","Ozone","","","33","New Hampshire","003","Carroll",".","."
"04/25/2000","330031002","1","0.045","ppm","38","24","100.0000","44201","Ozone","","","33","New Hampshire","003","Carroll",".","."
"04/26/2000","330031002","1","0.047","ppm","40","24","100.0000","44201","Ozone","","","33","New Hampshire","003","Carroll",".","."
"04/27/2000","330031002","1","0.039","ppm","33","24","100.0000","44201","Ozone","","","33","New Hampshire","003","Carroll",".","."
"04/28/2000","330031002","1","0.041","ppm","35","24","100.0000","44201","Ozone","","","33","New Hampshire","003","Carroll",".","."
"04/29/2000","330031002","1","0.053","ppm","45","24","100.0000","44201","Ozone","","","33","New Hampshire","003","Carroll",".","."
"04/30/2000","330031002","1","0.049","ppm","42","24","100.0000","44201","Ozone","","","33","New Hampshire","003","Carroll",".","."
"05/01/2000","330031002","1","0.052","ppm","44","24","100.0000","44201","Ozone","","","33","New Hampshire","003","Carroll",".","."
"05/02/2000","330031002","1","0.052","ppm","44","24","100.0000","44201","Ozone","","","33","New Hampshire","003","Carroll",".","."
"05/03/2000","330031002","1","0.049","ppm","42","24","100.0000","44201","Ozone","","","33","New Hampshire","003","Carroll",".","."
"05/04/2000","330031002","1","0.073","ppm","93","24","100.0000","44201","Ozone","","","33","New Hampshire","003","Carroll",".","."
"05/05/2000","330031002","1","0.06","ppm","51","24","100.0000","44201","Ozone","","","33","New Hampshire","003","Carroll",".","."
"05/06/2000","330031002","1","0.047","ppm","40","24","100.0000","44201","Ozone","","","33","New Hampshire","003","Carroll",".","."
"05/07/2000","330031002","1","0.058","ppm","49","24","100.0000","44201","Ozone","","","33","New Hampshire","003","Carroll",".","."
"05/08/2000","330031002","1","0.042","ppm","36","24","100.0000","44201","Ozone","","","33","New Hampshire","003","Carroll",".","."
"05/09/2000","330031002","1","0.027","ppm","23","24","100.0000","44201","Ozone","","","33","New Hampshire","003","Carroll",".","."
"05/10/2000","330031002","1","0.031","ppm","26","24","100.0000","44201","Ozone","","","33","New Hampshire","003","Carroll",".","."
"05/11/2000","330031002","1","0.028","ppm","24","24","100.0000","44201","Ozone","","","33","New Hampshire","003","Carroll",".","."
"05/12/2000","330031002","1","0.042","ppm","36","24","100.0000","44201","Ozone","","","33","New Hampshire","003","Carroll",".","."
"05/13/2000","330031002","1","0.023","ppm","19","24","100.0000","44201","Ozone","","","33","New Hampshire","003","Carroll",".","."
"05/14/2000","330031002","1","0.041","ppm","35","24","100.0000","44201","Ozone","","","33","New Hampshire","003","Carroll",".","."
"05/15/2000","330031002","1","0.045","ppm","38","24","100.0000","44201","Ozone","","","33","New Hampshire","003","Carroll",".","."
"05/16/2000","330031002","1","0.05","ppm","42","24","100.0000","44201","Ozone","","","33","New Hampshire","003","Carroll",".","."
"05/17/2000","330031002","1","0.051","ppm","43","24","100.0000","44201","Ozone","","","33","New Hampshire","003","Carroll",".","."
"05/18/2000","330031002","1","0.043","ppm","36","24","100.0000","44201","Ozone","","","33","New Hampshire","003","Carroll",".","."
"05/19/2000","330031002","1","0.037","ppm","31","24","100.0000","44201","Ozone","","","33","New Hampshire","003","Carroll",".","."
"05/20/2000","330031002","1","0.042","ppm","36","24","100.0000","44201","Ozone","","","33","New Hampshire","003","Carroll",".","."
"05/21/2000","330031002","1","0.038","ppm","32","24","100.0000","44201","Ozone","","","33","New Hampshire","003","Carroll",".","."
"05/22/2000","330031002","1","0.032","ppm","27","24","100.0000","44201","Ozone","","","33","New Hampshire","003","Carroll",".","."
"05/23/2000","330031002","1","0.041","ppm","35","24","100.0000","44201","Ozone","","","33","New Hampshire","003","Carroll",".","."
"05/24/2000","330031002","1","0.037","ppm","31","24","100.0000","44201","Ozone","","","33","New Hampshire","003","Carroll",".","."
"05/25/2000","330031002","1","0.037","ppm","31","24","100.0000","44201","Ozone","","","33","New Hampshire","003","Carroll",".","."
"05/26/2000","330031002","1","0.029","ppm","25","24","100.0000","44201","Ozone","","","33","New Hampshire","003","Carroll",".","."
"05/27/2000","330031002","1","0.036","ppm","31","24","100.0000","44201","Ozone","","","33","New Hampshire","003","Carroll",".","."
"05/28/2000","330031002","1","0.033","ppm","28","24","100.0000","44201","Ozone","","","33","New Hampshire","003","Carroll",".","."
"05/29/2000","330031002","1","0.028","ppm","24","24","100.0000","44201","Ozone","","","33","New Hampshire","003","Carroll",".","."
"05/30/2000","330031002","1","0.035","ppm","30","24","100.0000","44201","Ozone","","","33","New Hampshire","003","Carroll",".","."
"05/31/2000","330031002","1","0.047","ppm","40","24","100.0000","44201","Ozone","","","33","New Hampshire","003","Carroll",".","."
"06/01/2000","330031002","1","0.057","ppm","48","24","100.0000","44201","Ozone","","","33","New Hampshire","003","Carroll",".","."
"06/02/2000","330031002","1","0.038","ppm","32","24","100.0000","44201","Ozone","","","33","New Hampshire","003","Carroll",".","."
"06/03/2000","330031002","1","0.038","ppm","32","24","100.0000","44201","Ozone","","","33","New Hampshire","003","Carroll",".","."
"06/04/2000","330031002","1","0.031","ppm","26","24","100.0000","44201","Ozone","","","33","New Hampshire","003","Carroll",".","."
"06/05/2000","330031002","1","0.035","ppm","30","24","100.0000","44201","Ozone","","","33","New Hampshire","003","Carroll",".","."
"06/06/2000","330031002","1","0.036","ppm","31","24","100.0000","44201","Ozone","","","33","New Hampshire","003","Carroll",".","."
"06/07/2000","330031002","1","0.042","ppm","36","24","100.0000","44201","Ozone","","","33","New Hampshire","003","Carroll",".","."
"06/08/2000","330031002","1","0.043","ppm","36","24","100.0000","44201","Ozone","","","33","New Hampshire","003","Carroll",".","."
"06/09/2000","330031002","1","0.05","ppm","42","24","100.0000","44201","Ozone","","","33","New Hampshire","003","Carroll",".","."
"06/10/2000","330031002","1","0.046","ppm","39","24","100.0000","44201","Ozone","","","33","New Hampshire","003","Carroll",".","."
"06/11/2000","330031002","1","0.021","ppm","18","24","100.0000","44201","Ozone","","","33","New Hampshire","003","Carroll",".","."
"06/12/2000","330031002","1","0.024","ppm","20","24","100.0000","44201","Ozone","","","33","New Hampshire","003","Carroll",".","."
"06/13/2000","330031002","1","0.032","ppm","27","24","100.0000","44201","Ozone","","","33","New Hampshire","003","Carroll",".","."
"06/14/2000","330031002","1","0.033","ppm","28","24","100.0000","44201","Ozone","","","33","New Hampshire","003","Carroll",".","."
"06/15/2000","330031002","1","0.021","ppm","18","24","100.0000","44201","Ozone","","","33","New Hampshire","003","Carroll",".","."
"06/16/2000","330031002","1","0.044","ppm","37","24","100.0000","44201","Ozone","","","33","New Hampshire","003","Carroll",".","."
"06/17/2000","330031002","1","0.04","ppm","34","24","100.0000","44201","Ozone","","","33","New Hampshire","003","Carroll",".","."
"06/18/2000","330031002","1","0.033","ppm","28","24","100.0000","44201","Ozone","","","33","New Hampshire","003","Carroll",".","."
"06/19/2000","330031002","1","0.03","ppm","25","24","100.0000","44201","Ozone","","","33","New Hampshire","003","Carroll",".","."
"06/20/2000","330031002","1","0.04","ppm","34","24","100.0000","44201","Ozone","","","33","New Hampshire","003","Carroll",".","."
